ts, latitude, longitude, speed, satellites, HDOP
122000, 59.6523016, 17.9393866, 10.400000, 18, 0.700000
122001, 59.6522900, 17.9392950, 10.600000, 18, 0.700000
122002, 59.6522800, 17.9392016, 10.100000, 18, 0.700000
122003, 59.6522750, 17.9391133, 9.600000, 18, 0.700000
122004, 59.6522650, 17.9390316, 9.100000, 18, 0.700000
122005, 59.6522533, 17.9389483, 9.600000, 18, 0.700000
122006, 59.6522416, 17.9388616, 9.900000, 18, 0.700000
122007, 59.6522366, 17.9387716, 10.100000, 18, 0.700000
122008, 59.6522383, 17.9386833, 10.200000, 18, 0.700000
122009, 59.6522483, 17.9385950, 10.500000, 18, 0.700000
122010, 59.6522683, 17.9385183, 10.400000, 18, 0.700000
122011, 59.6522983, 17.9384550, 10.500000, 18, 0.700000
122012, 59.6523350, 17.9384000, 10.700000, 17, 0.700000
122013, 59.6523750, 17.9383516, 10.800000, 17, 0.700000
122014, 59.6524200, 17.9383133, 10.800000, 17, 0.700000
122015, 59.6524650, 17.9382733, 10.400000, 17, 0.700000
122016, 59.6525066, 17.9382283, 10.100000, 17, 0.700000
122017, 59.6525466, 17.9381833, 10.000000, 17, 0.700000
122018, 59.6525883, 17.9381416, 9.500000, 17, 0.700000
122019, 59.6526283, 17.9381016, 8.800000, 17, 0.700000
122020, 59.6526716, 17.9380516, 8.800000, 16, 0.700000
122021, 59.6527100, 17.9379950, 9.200000, 16, 0.700000
122022, 59.6527383, 17.9379283, 9.100000, 14, 0.800000
122023, 59.6527616, 17.9378550, 8.900000, 14, 0.800000
122024, 59.6527750, 17.9377766, 8.500000, 15, 0.700000
122025, 59.6527800, 17.9376983, 8.400000, 15, 0.700000
122026, 59.6527783, 17.9376216, 8.300000, 16, 0.700000
122027, 59.6527783, 17.9375400, 8.300000, 15, 0.700000
122028, 59.6527683, 17.9374666, 8.200000, 13, 0.800000
122029, 59.6527600, 17.9373950, 8.200000, 12, 0.800000
122030, 59.6527516, 17.9373216, 8.100000, 13, 0.800000
122031, 59.6527433, 17.9372500, 8.100000, 15, 0.700000
122032, 59.6527333, 17.9371783, 8.100000, 15, 0.800000
122033, 59.6527283, 17.9371583, 7.100000, 15, 0.700000
122034, 59.6527233, 17.9371083, 6.600000, 16, 0.700000
122035, 59.6527150, 17.9370616, 6.000000, 16, 0.700000
122036, 59.6527083, 17.9370033, 6.500000, 16, 0.700000
122037, 59.6527050, 17.9369166, 7.200000, 16, 0.700000
122038, 59.6527016, 17.9368466, 7.400000, 16, 0.800000
122039, 59.6527100, 17.9367166, 8.800000, 16, 0.800000
122040, 59.6527050, 17.9366133, 9.800000, 15, 0.900000
122041, 59.6527033, 17.9365166, 10.100000, 17, 0.800000
122042, 59.6527150, 17.9362350, 11.700000, 16, 0.900000
122043, 59.6527116, 17.9360550, 12.300000, 18, 0.700000
122044, 59.6527133, 17.9359466, 12.000000, 17, 0.800000
122045, 59.6526933, 17.9357933, 12.800000, 16, 0.900000
122046, 59.6526766, 17.9356633, 12.900000, 17, 0.800000
122047, 59.6526616, 17.9355416, 12.600000, 17, 0.800000
122048, 59.6526583, 17.9354300, 12.000000, 18, 0.700000
122049, 59.6526566, 17.9353316, 10.700000, 17, 0.700000
122050, 59.6526483, 17.9352483, 8.700000, 16, 0.800000
122051, 59.6526333, 17.9351816, 7.100000, 16, 0.900000
122052, 59.6526116, 17.9351366, 5.500000, 16, 0.900000
122053, 59.6525866, 17.9351083, 4.700000, 16, 0.900000
122054, 59.6525650, 17.9350800, 4.400000, 16, 0.900000
122055, 59.6525500, 17.9350516, 4.000000, 16, 0.900000
122056, 59.6525400, 17.9350250, 3.700000, 16, 0.900000
122057, 59.6525333, 17.9350000, 4.000000, 16, 0.900000
122058, 59.6525266, 17.9349700, 3.900000, 16, 0.900000
122059, 59.6525233, 17.9349416, 3.700000, 16, 0.900000
122100, 59.6525233, 17.9349166, 3.400000, 16, 0.700000
122101, 59.6525216, 17.9348900, 3.100000, 15, 0.900000
122102, 59.6525183, 17.9348716, 2.000000, 13, 0.800000
122103, 59.6525166, 17.9348550, 1.800000, 10, 1.400000
122104, 59.6525150, 17.9348383, 1.700000, 10, 0.900000
122105, 59.6525133, 17.9348266, 1.000000, 6, 2.500000
122106, 59.6525133, 17.9348233, 0.100000, 6, 2.900000
122107, 59.6525133, 17.9348216, 0.500000, 5, 7.300000
122108, 59.6525100, 17.9347983, 1.200000, 7, 3.000000
122109, 59.6525066, 17.9347766, 1.200000, 5, 7.300000
122110, 59.6525033, 17.9347650, 1.100000, 4, 9.800000
122111, 59.6525033, 17.9347566, 0.900000, 5, 7.300000
122112, 59.6525016, 17.9347500, 0.700000, 5, 7.300000
122113, 59.6525016, 17.9347433, 0.600000, 5, 7.300000
122114, 59.6525016, 17.9347416, 0.400000, 4, 9.800000
122115, 59.6525000, 17.9347400, 0.200000, 4, 7.500000
122116, 59.6525000, 17.9347416, 0.000000, 3, 6.500000
122117, 59.6525000, 17.9347416, 0.200000, 3, 6.500000
122118, 59.6525016, 17.9347500, 0.400000, 4, 7.500000
122119, 59.6525033, 17.9347583, 0.600000, 4, 7.500000
122120, 59.6525050, 17.9347716, 0.900000, 3, 6.500000
122121, 59.6525050, 17.9347833, 1.100000, 4, 6.000000
122122, 59.6525066, 17.9347983, 1.300000, 4, 6.000000
122123, 59.6525083, 17.9348133, 1.500000, 4, 6.000000
122124, 59.6525100, 17.9348300, 1.700000, 4, 6.000000
122125, 59.6525116, 17.9348433, 1.800000, 0, 6.000000
122126, 59.6525133, 17.9348633, 2.000000, 0, 6.000000
122127, 59.6525133, 17.9348800, 2.100000, 0, 6.000000
122128, 59.6525166, 17.9349066, 2.400000, 0, 6.000000
122129, 59.6525150, 17.9349050, 2.400000, 0, 6.000000
122130, 59.6525150, 17.9349016, 2.300000, 0, 6.000000
122131, 59.6525116, 17.9348850, 2.100000, 0, 6.000000
122132, 59.6525133, 17.9349100, 2.300000, 0, 6.000000
122133, 59.6525116, 17.9348966, 2.100000, 0, 6.000000
122134, 59.6525016, 17.9348000, 1.400000, 0, 6.000000
122135, 59.6524983, 17.9347566, 1.100000, 0, 6.000000
122136, 59.6524966, 17.9347466, 0.900000, 0, 6.000000
122137, 59.6524966, 17.9347616, 0.900000, 0, 6.000000
122138, 59.6525016, 17.9348166, 1.300000, 0, 6.000000
122139, 59.6525033, 17.9348550, 1.500000, 0, 6.000000
122140, 59.6524983, 17.9348083, 1.200000, 0, 6.000000
122141, 59.6524883, 17.9346550, 0.400000, 0, 6.000000
122142, 59.6524766, 17.9344833, 0.700000, 0, 6.000000
122143, 59.6524716, 17.9343700, 1.300000, 0, 6.000000
122144, 59.6524666, 17.9342650, 1.900000, 0, 6.000000
122145, 59.6524633, 17.9342166, 2.200000, 0, 6.000000
122146, 59.6524633, 17.9341900, 2.300000, 0, 6.000000
122147, 59.6524650, 17.9341816, 2.400000, 0, 6.000000
122148, 59.6524650, 17.9341800, 2.400000, 0, 6.000000
122149, 59.6524666, 17.9341733, 2.500000, 0, 6.000000
122150, 59.6524683, 17.9342166, 2.200000, 0, 6.000000
