ts, id, elevation, azimuth, snr, x, y
122000, 21, 77, 179, 43, -22, 0
122000, 2, 73, 260, 45, -5, -28
122000, 32, 48, 81, 47, 10, 66
122000, 10, 25, 69, 41, 32, 84
122000, 3, 25, 238, 41, -48, -76
122000, 8, 25, 186, 41, -90, -9
122000, 17, 23, 316, 44, 66, -63
122000, 36, 22, 174, 44, -92, 9
122000, 22, 21, 309, 43, 58, -72
122000, 14, 17, 286, 42, 26, -91
122000, 24, 8, 9, 42, 97, 15
122000, 70, 74, 111, 31, -9, 25
122000, 86, 71, 298, 45, 15, -28
122000, 85, 49, 138, 44, -48, 43
122000, 71, 36, 195, 40, -78, -20
122000, 87, 20, 311, 43, 61, -70
122000, 78, 20, 1, 40, 93, 1
122000, 69, 20, 37, 39, 75, 56
122000, 77, 13, 302, 35, 51, -82
122000, 79, 3, 47, 30, 68, 73
122003, 21, 77, 179, 43, -22, 0
122003, 2, 73, 260, 45, -5, -28
122003, 32, 48, 81, 46, 10, 66
122003, 10, 25, 69, 40, 32, 84
122003, 3, 25, 238, 40, -48, -76
122003, 8, 25, 186, 41, -90, -9
122003, 17, 23, 316, 44, 66, -63
122003, 36, 22, 174, 44, -92, 9
122003, 22, 21, 309, 43, 58, -72
122003, 14, 17, 286, 43, 26, -91
122003, 24, 8, 9, 43, 97, 15
122003, 70, 74, 111, 32, -9, 25
122003, 86, 71, 298, 46, 15, -28
122003, 85, 49, 138, 44, -48, 43
122003, 71, 36, 195, 39, -78, -20
122003, 87, 20, 311, 44, 61, -70
122003, 78, 20, 1, 40, 93, 1
122003, 69, 20, 37, 39, 75, 56
122003, 77, 13, 302, 37, 51, -82
122003, 79, 3, 47, 30, 68, 73
122006, 21, 77, 179, 43, -22, 0
122006, 2, 73, 260, 45, -5, -28
122006, 32, 48, 81, 47, 10, 66
122006, 10, 25, 69, 41, 32, 84
122006, 3, 25, 238, 42, -48, -76
122006, 8, 25, 186, 41, -90, -9
122006, 17, 23, 316, 44, 66, -63
122006, 36, 22, 174, 42, -92, 9
122006, 22, 21, 309, 43, 58, -72
122006, 14, 17, 286, 44, 26, -91
122006, 24, 8, 9, 40, 97, 15
122006, 70, 74, 111, 33, -9, 25
122006, 86, 71, 298, 46, 15, -28
122006, 85, 49, 138, 45, -48, 43
122006, 71, 36, 195, 41, -78, -20
122006, 87, 20, 311, 44, 61, -70
122006, 78, 20, 1, 38, 93, 1
122006, 69, 20, 37, 40, 75, 56
122006, 77, 13, 302, 36, 51, -82
122006, 79, 3, 47, 31, 68, 73
122009, 21, 77, 179, 44, -22, 0
122009, 2, 73, 260, 44, -5, -28
122009, 32, 48, 81, 46, 10, 66
122009, 10, 25, 69, 40, 32, 84
122009, 3, 25, 238, 40, -48, -76
122009, 8, 25, 186, 41, -90, -9
122009, 17, 23, 316, 44, 66, -63
122009, 36, 22, 174, 43, -92, 9
122009, 22, 21, 309, 42, 58, -72
122009, 14, 17, 286, 43, 26, -91
122009, 24, 8, 9, 37, 97, 15
122009, 28, 0, 0, 36, 100, 0
122009, 70, 74, 109, 35, -8, 26
122009, 86, 71, 298, 45, 15, -28
122009, 85, 49, 138, 48, -48, 43
122009, 71, 37, 195, 40, -77, -20
122009, 87, 20, 311, 47, 61, -70
122009, 78, 20, 1, 41, 93, 1
122009, 69, 20, 37, 38, 75, 56
122009, 77, 13, 302, 35, 51, -82
122009, 79, 3, 47, 34, 68, 73
122012, 21, 77, 179, 42, -22, 0
122012, 2, 73, 260, 44, -5, -28
122012, 32, 48, 81, 44, 10, 66
122012, 10, 25, 69, 45, 32, 84
122012, 3, 25, 238, 42, -48, -76
122012, 8, 25, 186, 43, -90, -9
122012, 17, 23, 316, 44, 66, -63
122012, 36, 22, 174, 42, -92, 9
122012, 22, 21, 309, 42, 58, -72
122012, 14, 17, 286, 40, 26, -91
122012, 24, 8, 9, 37, 97, 15
122012, 28, 0, 0, 39, 100, 0
122012, 70, 74, 109, 37, -8, 26
122012, 86, 71, 298, 44, 15, -28
122012, 85, 49, 138, 44, -48, 43
122012, 71, 37, 195, 42, -77, -20
122012, 87, 20, 311, 43, 61, -70
122012, 78, 20, 1, 48, 93, 1
122012, 69, 20, 37, 42, 75, 56
122012, 77, 13, 302, 24, 51, -82
122012, 79, 3, 47, 33, 68, 73
122015, 21, 77, 179, 43, -22, 0
122015, 2, 73, 260, 44, -5, -28
122015, 32, 48, 81, 45, 10, 66
122015, 10, 25, 69, 46, 32, 84
122015, 3, 25, 238, 41, -48, -76
122015, 8, 25, 186, 42, -90, -9
122015, 17, 23, 316, 43, 66, -63
122015, 36, 22, 174, 41, -92, 9
122015, 22, 21, 309, 42, 58, -72
122015, 14, 17, 286, 28, 26, -91
122015, 24, 8, 9, 31, 97, 15
122015, 28, 0, 0, 37, 100, 0
122015, 70, 74, 109, 36, -8, 26
122015, 86, 71, 298, 44, 15, -28
122015, 85, 49, 138, 45, -48, 43
122015, 71, 37, 195, 48, -77, -20
122015, 87, 20, 311, 40, 61, -70
122015, 78, 20, 1, 48, 93, 1
122015, 69, 20, 37, 46, 75, 56
122015, 77, 13, 302, 20, 51, -82
122015, 79, 3, 47, 31, 68, 73
122018, 21, 77, 179, 42, -22, 0
122018, 2, 73, 260, 44, -5, -28
122018, 32, 48, 81, 43, 10, 66
122018, 10, 25, 69, 43, 32, 84
122018, 3, 25, 238, 43, -48, -76
122018, 8, 25, 186, 41, -90, -9
122018, 17, 23, 316, 42, 66, -63
122018, 36, 22, 174, 40, -92, 9
122018, 22, 21, 309, 36, 58, -72
122018, 14, 17, 286, 27, 26, -91
122018, 24, 8, 9, 41, 97, 15
122018, 28, 0, 0, 39, 100, 0
122018, 70, 74, 109, 36, -8, 26
122018, 86, 71, 298, 44, 15, -28
122018, 85, 49, 138, 45, -48, 43
122018, 71, 37, 195, 47, -77, -20
122018, 87, 20, 311, 40, 61, -70
122018, 78, 20, 1, 49, 93, 1
122018, 69, 20, 37, 38, 75, 56
122018, 77, 13, 302, 18, 51, -82
122018, 79, 3, 47, 34, 68, 73
122021, 21, 77, 179, 43, -22, 0
122021, 2, 73, 260, 45, -5, -28
122021, 32, 48, 81, 48, 10, 66
122021, 10, 25, 69, 45, 32, 84
122021, 3, 25, 238, 28, -48, -76
122021, 8, 25, 186, 43, -90, -9
122021, 17, 23, 316, 32, 66, -63
122021, 36, 22, 174, 42, -92, 9
122021, 22, 21, 309, 26, 58, -72
122021, 14, 17, 286, 25, 26, -91
122021, 24, 8, 9, 40, 97, 15
122021, 28, 0, 0, 34, 100, 0
122021, 70, 74, 109, 36, -8, 26
122021, 86, 71, 298, 45, 15, -28
122021, 85, 49, 138, 44, -48, 43
122021, 71, 37, 195, 43, -77, -20
122021, 87, 20, 311, 25, 61, -70
122021, 78, 20, 1, 48, 93, 1
122021, 69, 20, 37, 44, 75, 56
122021, 77, 13, 302, 14, 51, -82
122021, 79, 3, 47, 36, 68, 73
122024, 21, 77, 179, 30, -22, 0
122024, 2, 73, 260, 41, -5, -28
122024, 32, 48, 81, 47, 10, 66
122024, 10, 25, 69, 42, 32, 84
122024, 3, 25, 238, 29, -48, -76
122024, 8, 25, 186, 41, -90, -9
122024, 17, 23, 316, 33, 66, -63
122024, 36, 22, 174, 32, -92, 9
122024, 22, 21, 309, 30, 58, -72
122024, 14, 17, 286, 28, 26, -91
122024, 24, 8, 9, 36, 97, 15
122024, 28, 0, 0, 37, 100, 0
122024, 70, 74, 109, 32, -8, 26
122024, 86, 72, 298, 39, 14, -27
122024, 85, 49, 139, 35, -49, 43
122024, 71, 37, 195, 39, -77, -20
122024, 87, 20, 311, 25, 61, -70
122024, 78, 20, 1, 31, 93, 1
122024, 69, 20, 37, 41, 75, 56
122024, 77, 13, 302, 15, 51, -82
122024, 79, 3, 47, 36, 68, 73
122027, 21, 77, 179, 39, -22, 0
122027, 2, 73, 259, 27, -5, -28
122027, 32, 48, 81, 42, 10, 66
122027, 10, 25, 69, 37, 32, 84
122027, 3, 25, 238, 31, -48, -76
122027, 8, 25, 186, 31, -90, -9
122027, 17, 23, 316, 31, 66, -63
122027, 36, 22, 174, 28, -92, 9
122027, 22, 21, 309, 32, 58, -72
122027, 14, 17, 286, 29, 26, -91
122027, 24, 8, 9, 33, 97, 15
122027, 28, 0, 0, 40, 100, 0
122027, 70, 74, 109, 31, -8, 26
122027, 86, 72, 298, 34, 14, -27
122027, 85, 49, 139, 44, -49, 43
122027, 71, 37, 195, 29, -77, -20
122027, 87, 20, 311, 27, 61, -70
122027, 78, 20, 1, 33, 93, 1
122027, 69, 20, 37, 35, 75, 56
122027, 77, 13, 302, 16, 51, -82
122027, 79, 3, 47, 39, 68, 73
122030, 21, 77, 179, 20, -22, 0
122030, 2, 73, 259, 24, -5, -28
122030, 32, 48, 81, 31, 10, 66
122030, 10, 25, 69, 30, 32, 84
122030, 3, 25, 238, 27, -48, -76
122030, 8, 24, 186, 25, -90, -9
122030, 17, 23, 316, 28, 66, -63
122030, 36, 22, 174, 21, -92, 9
122030, 22, 21, 309, 27, 58, -72
122030, 14, 17, 286, 35, 26, -91
122030, 24, 8, 9, 29, 97, 15
122030, 28, 0, 0, 29, 100, 0
122030, 70, 74, 109, 19, -8, 26
122030, 86, 72, 298, 24, 14, -27
122030, 85, 49, 139, 24, -49, 43
122030, 71, 37, 195, 24, -77, -20
122030, 87, 20, 311, 26, 61, -70
122030, 78, 20, 1, 25, 93, 1
122030, 69, 20, 37, 27, 75, 56
122030, 77, 13, 302, 21, 51, -82
122030, 79, 3, 47, 33, 68, 73
122033, 21, 77, 179, 20, -22, 0
122033, 2, 73, 259, 35, -5, -28
122033, 32, 48, 81, 34, 10, 66
122033, 10, 25, 69, 34, 32, 84
122033, 3, 25, 238, 28, -48, -76
122033, 8, 24, 186, 27, -90, -9
