ts,satellite_count,average_snr,average_snr_change,snr_zero_count,snr_zero_change,inside_outside,average_speed,average_satellites
122000,20,41,0,0,0,0,10,18
122003,20,41,0,0,0,0,10,18
122006,20,41,0,0,0,0,9,18
122009,21,41,0,0,0,0,10,18
122012,21,41,0,0,0,0,10,17
122015,21,40,-1,0,0,0,10,17
122018,21,40,0,0,0,0,9,17
122021,21,37,-3,0,0,0,8,16
122024,21,34,-3,0,0,0,8,14
122027,21,33,-1,0,0,0,8,15
122030,21,26,-7,0,0,0,8,12
122033,21,29,3,0,0,0,7,15
122036,21,34,5,0,0,0,6,16
122039,21,36,2,0,0,0,7,16
122042,21,38,2,0,0,0,10,16
122045,21,38,0,0,0,0,12,17
122048,20,39,1,0,0,0,12,17
122051,20,39,0,0,0,0,8,16
122054,20,38,-1,0,0,0,4,16
122057,20,37,-1,0,0,1,3,16
122100,20,30,-7,0,0,1,3,16
122103,20,24,-6,0,0,1,2,12
122106,20,21,-3,0,0,1,0,7
122109,20,18,-3,1,1,1,0,5
122112,20,15,-3,2,1,1,0,4
122115,20,13,-2,3,1,1,0,4
122118,20,10,-3,6,3,1,0,3
122121,20,8,-2,9,3,1,0,3
122124,20,8,0,9,0,1,1,4
122127,20,5,-3,13,4,1,1,0
122130,20,5,0,13,0,1,2,0
122133,20,3,-2,15,2,1,2,0
122136,19,3,0,15,0,1,1,0
122139,19,3,0,15,0,1,1,0
122142,19,2,-1,16,1,1,0,0
122145,19,1,-1,17,1,1,1,0
122148,19,1,0,17,0,1,2,0
122151,19,1,0,17,0,1,2,0
122154,19,1,0,17,0,1,3,0
122157,19,1,0,17,0,1,4,0
122200,19,2,1,17,0,1,5,0
122203,19,1,-1,17,0,1,5,0
122206,19,2,1,17,0,1,5,0
122209,19,2,0,17,0,1,6,0
122212,19,2,0,17,0,1,7,0
122215,19,2,0,17,0,1,7,0
122218,19,2,0,17,0,1,7,0
122221,19,2,0,17,0,1,6,0
122224,19,3,1,17,0,0,5,0
122227,19,4,1,17,0,0,4,0
122230,19,20,16,7,-10,0,5,3
122233,19,25,5,1,-6,0,1,12
122236,19,26,1,1,0,0,1,11
122239,19,28,2,1,0,0,3,14
122242,19,28,0,0,-1,0,4,15
122245,19,33,5,0,0,0,4,14
122248,19,37,4,0,0,0,5,15
122251,19,36,-1,0,0,0,9,15
122254,20,35,-1,0,0,0,9,15
122257,20,32,-3,0,0,0,9,16
122300,21,34,2,0,0,0,8,15
122303,21,32,-2,0,0,0,8,15
122306,21,28,-4,0,0,0,8,14
122309,21,32,4,0,0,0,8,15
122312,21,37,5,0,0,0,8,15
122315,21,36,-1,0,0,0,8,15
122318,21,31,-5,0,0,0,8,15
122321,21,27,-4,1,1,0,7,16
122324,21,30,3,1,0,0,6,16
122327,21,33,3,0,-1,0,5,14
122330,21,35,2,0,0,0,6,14
122333,21,34,-1,0,0,0,8,15
122336,21,33,-1,0,0,0,9,15
122339,21,33,0,1,1,0,10,14
122342,21,30,-3,0,-1,0,9,14
122345,21,28,-2,0,0,0,5,14
122348,21,33,5,0,0,0,5,15
122351,21,30,-3,0,0,0,7,15
122354,21,26,-4,0,0,0,6,13
122357,21,26,0,0,0,0,6,14
122400,21,29,3,0,0,0,7,16
122403,21,33,4,0,0,1,5,16
122406,21,28,-5,0,0,1,2,16
122409,21,24,-4,0,0,1,2,15
122412,21,22,-2,0,0,1,4,11
122415,21,18,-4,0,0,1,4,6
122418,21,15,-3,0,0,1,3,5
122421,20,14,-1,1,1,1,3,3
122424,20,8,-6,6,5,1,3,1
122427,20,4,-4,12,6,1,3,0
122430,20,3,-1,14,2,1,3,0
122433,20,2,-1,16,2,1,2,0
122436,20,2,0,17,1,1,2,0
122439,20,2,0,16,-1,1,2,0
122442,20,3,1,15,-1,1,2,0
122445,20,3,0,16,1,1,2,0
122448,20,4,1,14,-2,1,2,0
122451,20,3,-1,14,0,1,3,0
122454,20,4,1,14,0,1,4,0
122457,20,4,0,13,-1,1,5,0
122500,20,3,-1,14,1,1,4,0
122503,20,1,-2,17,3,1,4,0
122506,20,1,0,18,1,1,5,0
122509,20,1,0,18,0,1,5,0
122512,20,1,0,18,0,1,5,0
122515,20,1,0,18,0,1,5,0
122518,20,1,0,18,0,1,4,0
122521,20,2,1,16,-2,1,4,0
122524,20,2,0,16,0,1,5,0
122527,20,2,0,17,1,1,5,0
122530,20,2,0,17,0,1,5,0
122533,20,2,0,16,-1,1,4,0
122536,20,3,1,15,-1,1,5,0
122539,20,3,0,15,0,1,5,0
122542,20,4,1,14,-1,1,5,0
122545,20,5,1,12,-2,1,3,0
122548,20,8,3,11,-1,1,3,0
122551,20,12,4,9,-2,1,2,5
122554,20,20,8,6,-3,0,3,7
122557,20,32,12,1,-5,0,4,9
122600,21,36,4,0,-1,0,3,15
122603,20,37,1,0,0,0,2,16
122606,20,38,1,0,0,0,0,17
122609,20,36,-2,0,0,0,0,16
122612,20,38,2,0,0,0,1,17
122615,20,40,2,0,0,0,6,17
122618,20,40,0,0,0,0,9,17
122621,20,38,-2,0,0,0,11,16
122624,20,40,2,0,0,0,14,17
122627,20,42,2,0,0,0,15,18
122630,20,41,-1,0,0,0,13,17
122633,20,41,0,0,0,0,12,17
122636,20,40,-1,0,0,0,11,16
122639,20,40,0,0,0,0,11,16
122642,20,40,0,0,0,0,11,16
122645,20,39,-1,0,0,0,10,17
122648,20,38,-1,0,0,0,9,17
122651,20,30,-8,0,0,0,7,15
122654,20,28,-2,0,0,0,6,15
122657,20,29,1,0,0,0,6,15
122700,20,34,5,0,0,1,4,16
122703,20,30,-4,0,0,1,3,17
122706,20,23,-7,0,0,1,4,12
122709,20,20,-3,0,0,1,4,8
122712,20,17,-3,1,1,1,4,5
122715,20,12,-5,4,3,1,3,2
122718,20,9,-3,5,1,1,3,0
122721,20,5,-4,11,6,1,4,0
122724,20,3,-2,13,2,1,3,0
122727,20,2,-1,15,2,1,3,0
122730,20,1,-1,18,3,1,3,0
122733,20,1,0,17,-1,1,3,0
122736,20,1,0,17,0,1,3,0
122739,20,1,0,18,1,1,3,0
122742,19,1,0,18,0,1,4,0
122745,19,1,0,17,-1,1,4,0
122748,19,1,0,17,0,1,4,0
122751,19,1,0,16,-1,1,5,0
122754,19,1,0,17,1,1,5,0
122757,19,1,0,17,0,1,5,0
122800,19,0,-1,18,1,1,5,0
122803,19,3,3,15,-3,1,5,0
122806,19,3,0,15,0,1,5,0
122809,19,2,-1,15,0,1,4,0
122812,19,2,0,15,0,1,4,0
122815,19,0,-2,18,3,1,4,0
122818,19,2,2,16,-2,1,4,0
122821,19,0,-2,18,2,1,4,0
122824,19,1,1,18,0,1,4,0
122827,19,1,0,18,0,1,5,0
122830,19,0,-1,19,1,1,5,0
122833,19,1,1,18,-1,1,5,0
122836,19,6,5,14,-4,1,4,0
122839,19,15,9,8,-6,1,4,5
122842,19,24,9,4,-4,0,3,9
122845,19,34,10,0,-4,0,3,14
122848,20,37,3,0,0,0,3,15
122851,20,38,1,0,0,0,4,15
122854,20,40,2,0,0,0,1,17
122857,20,39,-1,0,0,0,0,16
122900,20,40,1,0,0,0,3,16
122903,20,40,0,0,0,0,8,16
122906,20,40,0,0,0,0,11,16
122909,20,40,0,0,0,0,13,16
122912,20,40,0,0,0,0,14,17
122915,20,40,0,0,0,0,14,17
122918,20,39,-1,1,1,0,13,17
122921,20,38,-1,1,0,0,12,17
122924,20,40,2,0,-1,0,12,16
122927,20,40,0,0,0,0,11,18
122930,20,38,-2,0,0,0,10,17
122933,20,39,1,0,0,0,9,17
122936,20,37,-2,0,0,0,8,16
122939,20,29,-8,0,0,0,6,14
122942,20,28,-1,0,0,0,6,14
122945,20,32,4,0,0,0,5,15
122948,20,34,2,0,0,0,2,17
122951,20,26,-8,0,0,1,2,16
122954,20,21,-5,0,0,1,5,9
122957,20,20,-1,0,0,1,4,6
123000,20,11,-9,4,4,1,4,1
123003,20,8,-3,5,1,1,3,0
123006,20,6,-2,7,2,1,3,0
123009,20,3,-3,13,6,1,3,0
123012,20,2,-1,15,2,1,4,0
123015,20,1,-1,16,1,1,3,0
123018,20,1,0,18,2,1,3,0
123021,20,2,1,17,-1,1,4,0
123024,20,3,1,15,-2,1,4,0
123027,20,2,-1,16,1,1,4,0
123030,20,2,0,16,0,1,5,0
123033,20,1,-1,16,0,1,5,0
123036,20,1,0,18,2,1,5,0
123039,19,0,-1,18,0,1,3,0
123042,19,1,1,18,0,1,3,0
