ts,satellite_count,average_snr,average_snr_change,snr_zero_count,snr_zero_change,inside_outside
122000,20,41,0,0,0,0
122003,20,41,0,0,0,0
122006,20,41,0,0,0,0
122009,21,41,0,0,0,0
122012,21,41,0,0,0,0
122015,21,40,-1,0,0,0
122018,21,40,0,0,0,0
122021,21,37,-3,0,0,0
122024,21,34,-3,0,0,0
122027,21,33,-1,0,0,0
122030,21,26,-7,0,0,0
122033,21,29,3,0,0,0
122036,21,34,5,0,0,0
122039,21,36,2,0,0,0
122042,21,38,2,0,0,0
122045,21,38,0,0,0,0
122048,20,39,1,0,0,0
122051,20,39,0,0,0,0
122054,20,38,-1,0,0,0
122057,20,37,-1,0,0,1
122100,20,30,-7,0,0,1
122103,20,24,-6,0,0,1
122106,20,21,-3,0,0,1
122109,20,18,-3,1,1,1
122112,20,15,-3,2,1,1
122115,20,13,-2,3,1,1
122118,20,10,-3,6,3,1
122121,20,8,-2,9,3,1
122124,20,8,0,9,0,1
122127,20,5,-3,13,4,1
122130,20,5,0,13,0,1
122133,20,3,-2,15,2,1
122136,19,3,0,15,0,1
122139,19,3,0,15,0,1
122142,19,2,-1,16,1,1
122145,19,1,-1,17,1,1
122148,19,1,0,17,0,1
122151,19,1,0,17,0,1
122154,19,1,0,17,0,1
122157,19,1,0,17,0,1
122200,19,2,1,17,0,1
122203,19,1,-1,17,0,1
122206,19,2,1,17,0,1
122209,19,2,0,17,0,1
122212,19,2,0,17,0,1
122215,19,2,0,17,0,1
122218,19,2,0,17,0,1
122221,19,2,0,17,0,1
122224,19,3,1,17,0,0
122227,19,4,1,17,0,0
122230,19,20,16,7,-10,0
122233,19,25,5,1,-6,0
122236,19,26,1,1,0,0
122239,19,28,2,1,0,0
122242,19,28,0,0,-1,0
122245,19,33,5,0,0,0
122248,19,37,4,0,0,0
122251,19,36,-1,0,0,0
122254,20,35,-1,0,0,0
122257,20,32,-3,0,0,0
122300,21,34,2,0,0,0
122303,21,32,-2,0,0,0
122306,21,28,-4,0,0,0
122309,21,32,4,0,0,0
122312,21,37,5,0,0,0
122315,21,36,-1,0,0,0
122318,21,31,-5,0,0,0
122321,21,27,-4,1,1,0
122324,21,30,3,1,0,0
122327,21,33,3,0,-1,0
122330,21,35,2,0,0,0
122333,21,34,-1,0,0,0
122336,21,33,-1,0,0,0
122339,21,33,0,1,1,0
122342,21,30,-3,0,-1,0
122345,21,28,-2,0,0,0
122348,21,33,5,0,0,0
122351,21,30,-3,0,0,0
122354,21,26,-4,0,0,0
122357,21,26,0,0,0,0
122400,21,29,3,0,0,0
122403,21,33,4,0,0,1
122406,21,28,-5,0,0,1
122409,21,24,-4,0,0,1
122412,21,22,-2,0,0,1
122415,21,18,-4,0,0,1
122418,21,15,-3,0,0,1
122421,20,14,-1,1,1,1
122424,20,8,-6,6,5,1
122427,20,4,-4,12,6,1
122430,20,3,-1,14,2,1
122433,20,2,-1,16,2,1
122436,20,2,0,17,1,1
122439,20,2,0,16,-1,1
122442,20,3,1,15,-1,1
122445,20,3,0,16,1,1
122448,20,4,1,14,-2,1
122451,20,3,-1,14,0,1
122454,20,4,1,14,0,1
122457,20,4,0,13,-1,1
122500,20,3,-1,14,1,1
122503,20,1,-2,17,3,1
122506,20,1,0,18,1,1
122509,20,1,0,18,0,1
122512,20,1,0,18,0,1
122515,20,1,0,18,0,1
122518,20,1,0,18,0,1
122521,20,2,1,16,-2,1
122524,20,2,0,16,0,1
122527,20,2,0,17,1,1
122530,20,2,0,17,0,1
122533,20,2,0,16,-1,1
122536,20,3,1,15,-1,1
122539,20,3,0,15,0,1
122542,20,4,1,14,-1,1
