ts,id,elevation,azimuth,snr,x,y,status,inside_outside
63300,29,72,96,46,-3,30,outside,0
63300,1,57,279,42,8,-53,outside,0
63300,26,49,285,40,16,-63,outside,0
63300,31,42,254,43,-20,-71,outside,0
63300,18,36,186,44,-80,-8,outside,0
63300,25,28,139,24,-66,57,outside,0
63300,28,28,219,45,-68,-55,outside,0
63300,5,24,104,28,-22,88,outside,0
63300,4,13,319,29,73,-63,outside,0
63300,16,13,298,38,45,-86,outside,0
63300,9,10,1,31,98,1,outside,0
63300,12,5,128,20,-61,78,outside,0
63300,36,0,0,42,100,0,outside,0
63300,75,60,299,42,24,-43,outside,0
63300,74,52,173,41,-61,7,outside,0
63300,85,29,220,48,-66,-56,outside,0
63300,66,13,329,44,83,-50,outside,0
63300,73,11,156,45,-89,39,outside,0
63300,76,6,325,35,81,-57,outside,0
63303,29,72,96,46,-3,30,outside,0
63303,1,57,279,44,8,-53,outside,0
63303,26,49,285,41,16,-63,outside,0
63303,31,42,254,44,-20,-71,outside,0
63303,18,36,186,44,-80,-8,outside,0
63303,25,28,139,22,-66,57,outside,0
63303,28,28,219,45,-68,-55,outside,0
63303,5,24,104,28,-22,88,outside,0
63303,4,13,319,31,73,-63,outside,0
63303,16,13,298,37,45,-86,outside,0
63303,9,10,1,32,98,1,outside,0
63303,12,5,128,19,-61,78,outside,0
63303,36,0,0,43,100,0,outside,0
63303,75,60,299,40,24,-43,outside,0
63303,74,52,173,41,-61,7,outside,0
63303,85,29,220,49,-66,-56,outside,0
63303,66,13,329,42,83,-50,outside,0
63303,73,11,156,45,-89,39,outside,0
63303,76,6,325,32,81,-57,outside,0
63306,29,72,96,46,-3,30,outside,0
63306,1,57,279,45,8,-53,outside,0
63306,26,49,285,41,16,-63,outside,0
63306,31,42,254,44,-20,-71,outside,0
63306,18,36,186,44,-80,-8,outside,0
63306,25,28,139,23,-66,57,outside,0
63306,28,28,219,45,-68,-55,outside,0
63306,5,24,104,27,-22,88,outside,0
63306,4,13,319,35,73,-63,outside,0
63306,16,13,298,38,45,-86,outside,0
63306,9,10,1,31,98,1,outside,0
63306,12,5,128,18,-61,78,outside,0
63306,36,0,0,43,100,0,outside,0
63306,75,60,299,40,24,-43,outside,0
63306,74,52,173,41,-61,7,outside,0
63306,85,29,220,49,-66,-56,outside,0
63306,66,13,329,41,83,-50,outside,0
63306,73,11,156,44,-89,39,outside,0
63306,76,6,325,30,81,-57,outside,0
63309,29,72,96,46,-3,30,outside,0
63309,1,57,279,45,8,-53,outside,0
63309,26,49,285,41,16,-63,outside,0
63309,31,42,254,43,-20,-71,outside,0
63309,18,36,186,44,-80,-8,outside,0
63309,25,28,139,24,-66,57,outside,0
63309,28,28,219,45,-68,-55,outside,0
63309,5,24,104,27,-22,88,outside,0
63309,4,13,319,35,73,-63,outside,0
63309,16,13,298,37,45,-86,outside,0
63309,9,10,1,28,98,1,outside,0
63309,12,5,128,16,-61,78,outside,0
63309,36,0,0,42,100,0,outside,0
63309,75,60,299,41,24,-43,outside,0
63309,74,52,173,40,-61,7,outside,0
63309,85,29,220,49,-66,-56,outside,0
63309,66,13,328,40,82,-51,outside,0
63309,73,11,156,44,-89,39,outside,0
63309,76,6,325,33,81,-57,outside,0
63312,29,72,96,46,-3,30,outside,0
63312,1,57,279,44,8,-53,outside,0
63312,26,49,285,41,16,-63,outside,0
63312,31,42,254,44,-20,-71,outside,0
63312,18,36,186,43,-80,-8,outside,0
63312,25,28,139,26,-66,57,outside,0
63312,28,28,219,45,-68,-55,outside,0
63312,5,24,104,28,-22,88,outside,0
63312,36,22,174,42,-92,9,outside,0
63312,4,13,319,38,73,-63,outside,0
63312,16,13,298,37,45,-86,outside,0
63312,9,10,1,29,98,1,outside,0
63312,12,5,128,18,-61,78,outside,0
63312,75,60,299,41,24,-43,outside,0
63312,74,52,173,40,-61,7,outside,0
63312,85,29,220,48,-66,-56,outside,0
63312,66,13,328,42,82,-51,outside,0
63312,73,10,156,43,-89,40,outside,0
63312,76,6,325,33,81,-57,outside,0
63315,29,72,96,46,-3,30,outside,0
63315,1,57,279,44,8,-53,outside,0
63315,26,49,285,43,16,-63,outside,0
63315,31,42,254,36,-20,-71,outside,0
63315,18,36,186,45,-80,-8,outside,0
63315,25,28,139,27,-66,57,outside,0
63315,28,28,219,44,-68,-55,outside,0
63315,5,24,104,25,-22,88,outside,0
63315,36,22,174,43,-92,9,outside,0
63315,4,13,319,43,73,-63,outside,0
63315,16,13,298,42,45,-86,outside,0
63315,9,10,1,30,98,1,outside,0
63315,12,5,128,17,-61,78,outside,0
63315,75,60,299,44,24,-43,outside,0
63315,74,52,173,38,-61,7,outside,0
63315,85,29,220,47,-66,-56,outside,0
63315,66,13,328,42,82,-51,outside,0
63315,73,10,156,44,-89,40,outside,0
63315,76,6,325,36,81,-57,outside,0
63318,29,72,96,45,-3,30,outside,0
63318,1,57,279,45,8,-53,outside,0
63318,26,49,285,44,16,-63,outside,0
63318,31,42,254,44,-20,-71,outside,0
63318,18,36,186,45,-80,-8,outside,0
63318,25,28,139,25,-66,57,outside,0
63318,28,28,219,45,-68,-55,outside,0
63318,5,24,104,24,-22,88,outside,0
63318,36,22,174,42,-92,9,outside,0
63318,4,13,319,43,73,-63,outside,0
63318,16,13,298,41,45,-86,outside,0
63318,9,10,1,29,98,1,outside,0
63318,12,5,128,23,-61,78,outside,0
63318,75,60,299,40,24,-43,outside,0
63318,74,52,173,40,-61,7,outside,0
63318,85,29,220,44,-66,-56,outside,0
63318,66,13,328,45,82,-51,outside,0
63318,73,10,156,44,-89,40,outside,0
63318,76,6,325,39,81,-57,outside,0
63321,29,72,96,45,-3,30,outside,0
63321,1,58,279,44,8,-52,outside,0
63321,26,49,285,44,16,-63,outside,0
63321,31,42,254,40,-20,-71,outside,0
63321,18,36,186,46,-80,-8,outside,0
63321,25,28,139,25,-66,57,outside,0
63321,28,28,219,45,-68,-55,outside,0
63321,36,22,174,44,-92,9,outside,0
63321,4,13,319,42,73,-63,outside,0
63321,16,13,298,40,45,-86,outside,0
63321,9,10,1,29,98,1,outside,0
63321,75,60,299,47,24,-43,outside,0
63321,74,52,173,37,-61,7,outside,0
63321,85,29,220,45,-66,-56,outside,0
63321,66,13,328,46,82,-51,outside,0
63321,73,10,156,43,-89,40,outside,0
63321,76,6,325,43,81,-57,outside,0
63324,29,72,96,44,-3,30,outside,0
63324,1,58,279,43,8,-52,outside,0
63324,26,49,285,43,16,-63,outside,0
63324,31,42,254,48,-20,-71,outside,0
63324,18,36,186,43,-80,-8,outside,0
63324,25,28,139,29,-66,57,outside,0
63324,28,28,219,40,-68,-55,outside,0
63324,36,22,174,43,-92,9,outside,0
63324,4,13,318,45,72,-65,outside,0
63324,16,13,298,42,45,-86,outside,0
63324,9,10,1,28,98,1,outside,0
63324,75,60,299,47,24,-43,outside,0
63324,74,52,173,38,-61,7,outside,0
63324,85,29,220,44,-66,-56,outside,0
63324,66,13,328,41,82,-51,outside,0
63324,73,10,156,40,-89,40,outside,0
63324,76,6,325,32,81,-57,outside,0
63327,29,72,96,45,-3,30,outside,0
63327,1,58,279,45,8,-52,outside,0
63327,26,49,285,46,16,-63,outside,0
63327,31,42,254,46,-20,-71,outside,0
63327,18,36,186,41,-80,-8,outside,0
63327,25,28,139,29,-66,57,outside,0
63327,28,28,219,44,-68,-55,outside,0
63327,36,22,174,41,-92,9,outside,0
63327,4,13,318,41,72,-65,outside,0
63327,16,13,298,42,45,-86,outside,0
63327,9,10,1,27,98,1,outside,0
63327,75,60,299,43,24,-43,outside,0
63327,74,52,173,37,-61,7,outside,0
63327,85,29,220,45,-66,-56,outside,0
63327,66,13,328,42,82,-51,outside,0
63327,73,10,156,36,-89,40,outside,0
63327,76,6,325,39,81,-57,outside,0
63330,29,72,96,44,-3,30,outside,0
63330,1,58,279,44,8,-52,outside,0
63330,26,49,285,44,16,-63,outside,0
63330,31,42,254,48,-20,-71,outside,0
63330,18,36,186,43,-80,-8,outside,0
63330,25,28,139,27,-66,57,outside,0
63330,28,28,219,44,-68,-55,outside,0
63330,36,22,174,41,-92,9,outside,0
63330,4,13,318,35,72,-65,outside,0
63330,16,13,298,42,45,-86,outside,0
63330,9,10,1,28,98,1,outside,0
63330,75,60,299,45,24,-43,outside,0
63330,74,52,173,37,-61,7,outside,0
63330,85,29,220,45,-66,-56,outside,0
63330,66,13,328,39,82,-51,outside,0
63330,73,10,156,38,-89,40,outside,0
63330,76,6,325,39,81,-57,outside,0
63333,29,72,96,42,-3,30,outside,0
63333,1,58,279,43,8,-52,outside,0
63333,26,49,285,43,16,-63,outside,0
63333,31,42,254,46,-20,-71,outside,0
63333,18,36,186,43,-80,-8,outside,0
63333,25,28,139,28,-66,57,outside,0
63333,28,28,219,42,-68,-55,outside,0
63333,36,22,174,42,-92,9,outside,0
63333,4,13,318,41,72,-65,outside,0
63333,16,13,298,43,45,-86,outside,0
63333,9,10,1,26,98,1,outside,0
63333,12,5,128,23,-61,78,outside,0
63333,75,60,299,43,24,-43,outside,0
63333,74,52,173,43,-61,7,outside,0
63333,85,29,220,44,-66,-56,outside,0
63333,66,13,328,49,82,-51,outside,0
63333,73,10,156,38,-89,40,outside,0
63333,76,6,325,45,81,-57,outside,0
63336,29,72,96,39,-3,30,outside,0
63336,1,58,279,44,8,-52,outside,0
63336,26,49,285,44,16,-63,outside,0
63336,31,42,254,46,-20,-71,outside,0
63336,18,36,186,42,-80,-8,outside,0
63336,25,28,139,42,-66,57,outside,0
63336,28,28,219,42,-68,-55,outside,0
63336,36,22,174,45,-92,9,outside,0
63336,16,14,299,42,47,-84,outside,0
63336,4,13,318,40,72,-65,outside,0
63336,9,10,1,27,98,1,outside,0
63336,75,60,299,43,24,-43,outside,0
63336,74,52,173,37,-61,7,outside,0
63336,85,29,220,42,-66,-56,outside,0
63336,66,13,328,41,82,-51,outside,0
63336,73,10,156,43,-89,40,outside,0
63336,76,6,325,42,81,-57,outside,0
63339,29,72,96,41,-3,30,outside,0
63339,1,58,279,43,8,-52,outside,0
63339,26,49,285,44,16,-63,outside,0
63339,31,42,254,46,-20,-71,outside,0
63339,18,36,186,44,-80,-8,outside,0
63339,25,28,139,43,-66,57,outside,0
63339,28,28,219,42,-68,-55,outside,0
63339,36,22,174,42,-92,9,outside,0
63339,16,14,299,37,47,-84,outside,0
63339,4,13,318,35,72,-65,outside,0
63339,9,10,1,40,98,1,outside,0
63339,75,60,299,41,24,-43,outside,0
63339,74,52,173,36,-61,7,outside,0
63339,85,29,220,46,-66,-56,outside,0
63339,66,13,328,37,82,-51,outside,0
63339,73,10,156,33,-89,40,outside,0
63339,76,6,325,42,81,-57,outside,0
63342,29,72,96,37,-3,30,outside,0
63342,1,58,279,42,8,-52,outside,0
63342,26,49,285,44,16,-63,outside,0
63342,31,42,254,45,-20,-71,outside,0
63342,18,36,186,45,-80,-8,outside,0
63342,25,28,139,40,-66,57,outside,0
63342,28,28,219,40,-68,-55,outside,0
63342,20,27,52,42,54,70,outside,0
63342,36,22,174,43,-92,9,outside,0
63342,16,14,299,39,47,-84,outside,0
63342,4,13,318,36,72,-65,outside,0
63342,9,10,1,39,98,1,outside,0
63342,75,60,299,44,24,-43,outside,0
63342,74,52,173,34,-61,7,outside,0
63342,85,29,220,47,-66,-56,outside,0
63342,66,13,328,40,82,-51,outside,0
63342,73,10,156,38,-89,40,outside,0
63342,76,6,325,39,81,-57,outside,0
63345,29,72,96,44,-3,30,outside,0
63345,1,58,279,43,8,-52,outside,0
63345,26,50,284,42,15,-62,outside,0
63345,31,42,254,44,-20,-71,outside,0
63345,18,36,186,44,-80,-8,outside,0
63345,28,28,219,34,-68,-55,outside,0
63345,25,27,139,44,-67,58,outside,0
63345,20,27,52,42,54,70,outside,0
63345,36,22,174,43,-92,9,outside,0
63345,16,14,299,43,47,-84,outside,0
63345,4,13,318,32,72,-65,outside,0
