ts,satellite_count,average_snr,satellite_change,inside_outside
63300,19,38,0,0
63303,19,38,0,0
63306,19,38,0,0
63309,19,38,0,0
63312,19,38,0,0
63315,19,39,0,0
63318,19,39,0,0
63321,17,41,-2,0
63324,17,41,0,0
63327,17,41,0,0
63330,17,40,0,0
63333,18,40,1,0
63336,17,41,-1,0
63339,17,41,0,0
63342,18,41,1,0
63345,18,41,0,0
63348,20,41,2,0
63351,20,41,0,0
63354,20,41,0,0
63357,20,41,0,0
63400,20,42,0,0
63403,20,42,0,0
63406,20,42,0,0
63409,20,42,0,0
63412,20,41,0,0
63415,21,40,1,0
63418,21,39,0,0
63421,21,40,0,0
63424,21,40,0,0
63427,21,40,0,0
63430,21,40,0,0
63433,21,41,0,0
63436,21,40,0,0
63439,21,41,0,0
63442,21,40,0,0
63445,21,40,0,0
63448,21,40,0,0
63451,21,40,0,0
63454,21,42,0,0
63457,21,40,0,0
63500,21,41,0,0
63503,21,40,0,0
63506,21,41,0,0
63509,21,41,0,0
63512,21,41,0,0
63515,21,41,0,0
63518,22,40,1,0
63521,22,40,0,0
63524,22,39,0,0
63527,22,40,0,0
63530,22,40,0,0
63533,22,40,0,0
63536,22,40,0,0
63539,22,40,0,0
63542,22,41,0,0
63545,22,39,0,0
63548,22,38,0,0
63551,22,36,0,0
63554,22,37,0,0
63557,23,35,1,0
63600,23,32,0,0
63603,23,34,0,0
63606,23,33,0,0
63609,23,34,0,0
63612,23,33,0,0
63615,23,33,0,0
63618,23,33,0,0
63621,23,34,0,0
63624,23,33,0,0
63627,23,33,0,0
63630,23,32,0,0
63633,23,34,0,0
63636,23,38,0,0
63639,23,41,0,0
63642,23,40,0,0
63645,23,40,0,0
63648,23,37,0,0
63651,23,33,0,0
63654,23,31,0,0
63657,23,30,0,0
63700,23,30,0,0
63703,23,31,0,0
63706,23,30,0,0
63709,23,26,0,0
63712,23,27,0,0
63715,23,32,0,0
63718,23,37,0,0
63721,23,35,0,0
63724,23,37,0,0
63727,23,36,0,0
63730,23,36,0,0
63733,22,37,-1,0
63736,22,36,0,0
63739,23,37,1,0
63742,23,36,0,0
63745,23,35,0,0
63748,23,35,0,0
